Order Year,Order Month,Order Month Name,Total_Sales,Total_Profit,Total_Orders
2014,1,Jan,14236.895,2450.1907,32
2014,2,Feb,4519.892,862.3084,28
2014,3,Mar,55691.009,498.7299,71
2014,4,Apr,28295.345,3488.8352,66
2014,5,May,23648.287,2738.7096,69
2014,6,Jun,34595.1276,4976.5244,66
2014,7,Jul,33946.393,-841.4826000000002,65
2014,8,Aug,27909.4685,5318.105,72
2014,9,Sep,81777.3508,8328.0994,130
2014,10,Oct,31453.393,3448.2573,78
2014,11,Nov,78628.7167,9292.1269,151
2014,12,Dec,69545.6205,8983.5699,141
2015,1,Jan,18174.0756,-3281.007,29
2015,2,Feb,11951.411,2813.8508,36
2015,3,Mar,38726.252,9732.0978,79
2015,4,Apr,34195.2085,4187.4962,72
2015,5,May,30131.6865,4667.869,74
2015,6,Jun,24797.292,3335.5572,68
2015,7,Jul,28765.325,3288.6483,66
2015,8,Aug,36898.3322,5355.8084,68
2015,9,Sep,64595.918,8209.1627,140
2015,10,Oct,31404.9235,2817.366,87
2015,11,Nov,75972.5635,12474.7884,158
2015,12,Dec,74919.5212,8016.9659,161
2016,1,Jan,18542.490999999998,2824.8233,48
2016,2,Feb,22978.815,5004.5795,45
2016,3,Mar,51715.875,3611.9680000000003,86
2016,4,Apr,38750.039000000004,2977.8149,89
2016,5,May,56987.728,8662.1464,108
2016,6,Jun,40344.534,4750.3781,97
2016,7,Jul,39261.963,4432.8778999999995,96
2016,8,Aug,31115.3743,2062.0693,90
2016,9,Sep,73410.0249,9328.6576,192
2016,10,Oct,59687.745,16243.142500000002,105
2016,11,Nov,79411.9658,4011.4075,183
2016,12,Dec,96999.043,17885.3093,176
2017,1,Jan,43971.374,7140.4391,69
2017,2,Feb,20301.1334,1613.8719999999998,53
2017,3,Mar,58872.3528,14751.891500000002,118
2017,4,Apr,36521.5361,933.2899999999998,116
2017,5,May,44261.1102,6342.5828,118
2017,6,Jun,52981.7257,8223.3357,133
2017,7,Jul,45264.416,6952.6212,111
2017,8,Aug,63120.888,9040.9557,111
2017,9,Sep,87866.652,10991.5556,226
2017,10,Oct,77776.9232,9275.2755,147
2017,11,Nov,118447.825,9690.1037,261
2017,12,Dec,83829.3188,8483.346800000001,224
